Array Size,Merge Sort,Counting Sort,Quick Sort,Radix Sort
188000,0.053000,0.003000,0.272000,0.017000
189000,0.071000,0.005000,0.234000,0.020000
190000,0.081000,0.004000,0.193000,0.015000
191000,0.062000,0.005000,0.199000,0.015000
192000,0.040000,0.004000,0.218000,0.018000
193000,0.067000,0.006000,0.208000,0.017000
194000,0.061000,0.006000,0.207000,0.030000
195000,0.083000,0.005000,0.203000,0.018000
196000,0.088000,0.004000,0.162000,0.021000
197000,0.079000,0.005000,0.215000,0.018000
198000,0.058000,0.003000,0.226000,0.015000
199000,0.043000,0.005000,0.241000,0.020000
200000,0.069000,0.005000,0.234000,0.020000
201000,0.069000,0.006000,0.215000,0.018000
202000,0.054000,0.004000,0.212000,0.017000
203000,0.059000,0.004000,0.308000,0.025000
204000,0.086000,0.006000,0.213000,0.032000
205000,0.087000,0.005000,0.205000,0.021000
206000,0.052000,0.003000,0.247000,0.030000
207000,0.084000,0.006000,0.283000,0.017000
208000,0.081000,0.008000,0.186000,0.016000
209000,0.045000,0.004000,0.207000,0.035000
210000,0.083000,0.005000,0.185000,0.019000
211000,0.098000,0.009000,0.228000,0.019000
212000,0.103000,0.011000,0.323000,0.026000
213000,0.090000,0.007000,0.228000,0.016000
214000,0.066000,0.004000,0.200000,0.023000
215000,0.078000,0.007000,0.291000,0.030000
216000,0.099000,0.004000,0.171000,0.018000
217000,0.069000,0.005000,0.220000,0.017000
218000,0.052000,0.003000,0.175000,0.032000
219000,0.091000,0.005000,0.281000,0.020000
220000,0.064000,0.006000,0.204000,0.017000
221000,0.059000,0.004000,0.218000,0.021000
222000,0.083000,0.006000,0.275000,0.021000
223000,0.053000,0.005000,0.288000,0.023000
224000,0.109000,0.006000,0.250000,0.019000
225000,0.050000,0.004000,0.200000,0.020000
226000,0.052000,0.003000,0.248000,0.023000
227000,0.110000,0.008000,0.273000,0.022000
228000,0.090000,0.007000,0.242000,0.022000
229000,0.095000,0.006000,0.243000,0.021000
230000,0.051000,0.004000,0.227000,0.023000
231000,0.060000,0.005000,0.273000,0.023000
232000,0.085000,0.012000,0.309000,0.021000
233000,0.092000,0.005000,0.333000,0.024000
234000,0.089000,0.006000,0.334000,0.023000
235000,0.115000,0.007000,0.255000,0.024000
236000,0.086000,0.005000,0.341000,0.037000
237000,0.101000,0.005000,0.220000,0.031000
238000,0.102000,0.006000,0.277000,0.021000
239000,0.093000,0.009000,0.269000,0.018000
240000,0.102000,0.006000,0.283000,0.036000
241000,0.132000,0.003000,0.387000,0.019000
242000,0.050000,0.004000,0.252000,0.018000
243000,0.058000,0.006000,0.248000,0.019000
244000,0.055000,0.003000,0.226000,0.019000
245000,0.060000,0.004000,0.271000,0.021000
246000,0.062000,0.006000,0.248000,0.027000
247000,0.104000,0.007000,0.342000,0.018000
248000,0.059000,0.005000,0.266000,0.019000
249000,0.063000,0.005000,0.288000,0.019000
250000,0.053000,0.004000,0.223000,0.019000
251000,0.061000,0.005000,0.242000,0.022000
252000,0.073000,0.006000,0.298000,0.026000
253000,0.101000,0.008000,0.290000,0.026000
254000,0.089000,0.005000,0.233000,0.024000
255000,0.070000,0.005000,0.236000,0.023000
256000,0.055000,0.004000,0.280000,0.027000
257000,0.110000,0.041000,0.244000,0.027000
258000,0.087000,0.004000,0.338000,0.040000
259000,0.110000,0.007000,0.325000,0.025000
260000,0.105000,0.005000,0.326000,0.025000
261000,0.104000,0.006000,0.473000,0.042000
262000,0.103000,0.005000,0.300000,0.053000
263000,0.123000,0.004000,0.276000,0.029000
264000,0.093000,0.006000,0.337000,0.030000
265000,0.092000,0.003000,0.275000,0.026000
266000,0.066000,0.004000,0.274000,0.024000
267000,0.086000,0.007000,0.371000,0.027000
